# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,product_accession,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,622186,623361,-,,,,,,,SL1344_RS02865,1176,,old_locus_tag=SL1344_0555
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,622186,623361,-,WP_001033457.1,WP_001033457.1,,DNA repair ATPase,,,SL1344_RS02865,1176,391,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,623687,625081,+,,,,,,,SL1344_RS02870,1395,,old_locus_tag=SL1344_0556
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,623687,625081,+,WP_000786288.1,WP_000786288.1,,phenylalanine transporter,,,SL1344_RS02870,1395,464,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,625123,626370,-,,,,,,,SL1344_RS02875,1248,,old_locus_tag=SL1344_0557
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,625123,626370,-,WP_001156978.1,WP_001156978.1,,mechanosensitive ion channel family protein,,,SL1344_RS02875,1248,415,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,626400,626582,+,,,,,,,SL1344_RS25035,183,,
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,626400,626582,+,WP_001520101.1,WP_001520101.1,,hypothetical protein,,,SL1344_RS25035,183,60,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,626681,628651,+,,,,,,,SL1344_RS02880,1971,,old_locus_tag=SL1344_0558
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,626681,628651,+,WP_000192437.1,WP_000192437.1,,autotransporter domain-containing esterase,,,SL1344_RS02880,1971,656,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,628818,631547,+,,,,,,,SL1344_RS02885,2730,,old_locus_tag=SL1344_0559
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,628818,631547,+,WP_001031461.1,WP_001031461.1,,PRD domain-containing protein,,,SL1344_RS02885,2730,909,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,631675,632661,-,,,,,,,SL1344_RS02890,987,,old_locus_tag=SL1344_0560
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,631675,632661,-,WP_000109360.1,WP_000109360.1,,phosphosugar isomerase,,,SL1344_RS02890,987,328,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,632728,633771,-,,,,,,,SL1344_RS02895,1044,,old_locus_tag=SL1344_0561
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,632728,633771,-,WP_010988979.1,WP_010988979.1,,SIS domain-containing protein,,,SL1344_RS02895,1044,347,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,633804,634658,-,,,,,,,SL1344_RS02900,855,,old_locus_tag=SL1344_0562
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,633804,634658,-,WP_000005803.1,WP_000005803.1,,PTS mannose transporter subunit IID,,,SL1344_RS02900,855,284,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,634661,635404,-,,,,,,,SL1344_RS02905,744,,old_locus_tag=SL1344_0563
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,634661,635404,-,WP_000927523.1,WP_000927523.1,,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,,,SL1344_RS02905,744,247,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,635419,635889,-,,,,,,,SL1344_RS02910,471,,old_locus_tag=SL1344_0564
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,635419,635889,-,WP_000594176.1,WP_000594176.1,,PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB,,,SL1344_RS02910,471,156,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,635867,636316,-,,,,,,,SL1344_RS02915,450,,old_locus_tag=SL1344_0565
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,635867,636316,-,WP_001216659.1,WP_001216659.1,,PTS mannose transporter subunit IIAB,,,SL1344_RS02915,450,149,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,636516,637169,-,,,,,,,SL1344_RS02920,654,,old_locus_tag=SL1344_0566
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,636516,637169,-,WP_000355879.1,WP_000355879.1,,NAD(P)H nitroreductase,,,SL1344_RS02920,654,217,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,637266,637634,-,,,,,,,SL1344_RS02925,369,,old_locus_tag=SL1344_0567
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,637266,637634,-,WP_000348999.1,WP_000348999.1,,hypothetical protein,,,SL1344_RS02925,369,122,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,637634,638215,-,,,,,,,SL1344_RS02930,582,,old_locus_tag=SL1344_0568
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,637634,638215,-,WP_000113609.1,WP_000113609.1,,TetR/AcrR family transcriptional regulator,,,SL1344_RS02930,582,193,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,638504,638845,+,,,,,ramA,,SL1344_RS02935,342,,old_locus_tag=SL1344_0569
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,638504,638845,+,WP_000155631.1,WP_000155631.1,,RamA family antibiotic efflux transcriptional regulator,ramA,,SL1344_RS02935,342,113,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,638851,639099,-,,,,,,,SL1344_RS02940,249,,old_locus_tag=SL1344_0570
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,638851,639099,-,WP_000682497.1,WP_000682497.1,,DUF1158 domain-containing protein,,,SL1344_RS02940,249,82,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,639166,640284,-,,,,,,,SL1344_RS02945,1119,,old_locus_tag=SL1344_0571
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,639166,640284,-,WP_001196903.1,WP_001196903.1,,carboxylate--amine ligase,,,SL1344_RS02945,1119,372,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,640296,641000,-,,,,,,,SL1344_RS02950,705,,old_locus_tag=SL1344_0572
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,640296,641000,-,WP_000958064.1,WP_000958064.1,,enterobactin synthase component D,,,SL1344_RS02950,705,234,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,641046,643301,-,,,,,,,SL1344_RS02955,2256,,old_locus_tag=SL1344_0573
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,641046,643301,-,WP_001034955.1,WP_001034955.1,,TonB-dependent siderophore receptor,,,SL1344_RS02955,2256,751,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,643490,644704,+,,,,,,,SL1344_RS02960,1215,,old_locus_tag=SL1344_0574
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,643490,644704,+,WP_000656600.1,WP_000656600.1,,enterochelin esterase,,,SL1344_RS02960,1215,404,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,644735,644953,+,,,,,,,SL1344_RS02965,219,,old_locus_tag=SL1344_0575
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,644735,644953,+,WP_000396006.1,WP_000396006.1,,MbtH family protein,,,SL1344_RS02965,219,72,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,644950,648834,+,,,,,entF,,SL1344_RS02970,3885,,old_locus_tag=SL1344_0576
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,644950,648834,+,WP_000194140.1,WP_000194140.1,,enterobactin synthase subunit F,entF,,SL1344_RS02970,3885,1294,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,649084,650220,+,,,,,,,SL1344_RS02975,1137,,old_locus_tag=SL1344_0577
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,649084,650220,+,WP_001139583.1,WP_001139583.1,,LPS O-antigen length regulator,,,SL1344_RS02975,1137,378,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,650273,651067,-,,,,,,,SL1344_RS02980,795,,old_locus_tag=SL1344_0578
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,650273,651067,-,WP_000140620.1,WP_000140620.1,,iron-enterobactin transporter ATP-binding protein,,,SL1344_RS02980,795,264,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,651064,652053,-,,,,,,,SL1344_RS02985,990,,old_locus_tag=SL1344_0579
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,651064,652053,-,WP_000480067.1,WP_000480067.1,,iron-enterobactin transporter permease,,,SL1344_RS02985,990,329,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,652053,653060,-,,,,,,,SL1344_RS02990,1008,,old_locus_tag=SL1344_0580
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,652053,653060,-,WP_001277880.1,WP_001277880.1,,iron-enterobactin transporter membrane protein,,,SL1344_RS02990,1008,335,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,653171,654415,+,,,,,,,SL1344_RS02995,1245,,old_locus_tag=SL1344_0581
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,653171,654415,+,WP_001081661.1,WP_001081661.1,,MFS transporter,,,SL1344_RS02995,1245,414,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,654478,655434,-,,,,,,,SL1344_RS03000,957,,old_locus_tag=SL1344_0582
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,654478,655434,-,WP_001238988.1,WP_001238988.1,,Fe2+-enterobactin ABC transporter substrate-binding protein,,,SL1344_RS03000,957,318,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,655743,656918,+,,,,,,,SL1344_RS03005,1176,,old_locus_tag=SL1344_0583
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,655743,656918,+,WP_000367601.1,WP_000367601.1,,isochorismate synthase EntC,,,SL1344_RS03005,1176,391,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,656928,658538,+,,,,,entE,,SL1344_RS03010,1611,,old_locus_tag=SL1344_0584
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,656928,658538,+,WP_001222445.1,WP_001222445.1,,"2,3-dihydroxybenzoate-AMP ligase",entE,,SL1344_RS03010,1611,536,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,658552,659409,+,,,,,,,SL1344_RS03015,858,,old_locus_tag=SL1344_0585
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,658552,659409,+,WP_001007166.1,WP_001007166.1,,isochorismatase,,,SL1344_RS03015,858,285,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,659409,660164,+,,,,,,,SL1344_RS03020,756,,old_locus_tag=SL1344_0586
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,659409,660164,+,WP_000145522.1,WP_000145522.1,,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",,,SL1344_RS03020,756,251,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,660167,660580,+,,,,,,,SL1344_RS03025,414,,old_locus_tag=SL1344_0587
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,660167,660580,+,WP_000637965.1,WP_000637965.1,,proofreading thioesterase EntH,,,SL1344_RS03025,414,137,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,660762,662867,+,,,,,,,SL1344_RS03030,2106,,old_locus_tag=SL1344_0588
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,660762,662867,+,WP_001043109.1,WP_001043109.1,,carbon starvation protein A,,,SL1344_RS03030,2106,701,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,662931,663128,+,,,,,,,SL1344_RS03035,198,,old_locus_tag=SL1344_0589
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,662931,663128,+,WP_000460619.1,WP_000460619.1,,DUF466 domain-containing protein,,,SL1344_RS03035,198,65,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,663164,664252,-,,,,,,,SL1344_RS03040,1089,,old_locus_tag=SL1344_0590
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,663164,664252,-,WP_001016847.1,WP_001016847.1,,oxidoreductase,,,SL1344_RS03040,1089,362,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,664379,665539,+,,,,,,,SL1344_RS03045,1161,,old_locus_tag=SL1344_0591
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,664379,665539,+,WP_001245592.1,WP_001245592.1,,pyridoxal phosphate-dependent aminotransferase,,,SL1344_RS03045,1161,386,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,665540,666157,-,,,,,,,SL1344_RS03050,618,,old_locus_tag=SL1344_0592
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,665540,666157,-,WP_001164756.1,WP_001164756.1,,transcriptional regulator,,,SL1344_RS03050,618,205,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,666130,667365,-,,,,,,,SL1344_RS03055,1236,,old_locus_tag=SL1344_0593
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,666130,667365,-,WP_000118144.1,WP_000118144.1,,phosphoadenosine phosphosulfate reductase,,,SL1344_RS03055,1236,411,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,667531,668433,-,,,,,,,SL1344_RS03060,903,,old_locus_tag=SL1344_0594
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,667531,668433,-,WP_000002497.1,WP_000002497.1,,LysR family transcriptional regulator,,,SL1344_RS03060,903,300,
gene,pseudogene,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,668358,668594,-,,,,,,,SL1344_RS25040,237,,pseudo
CDS,without_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,668358,668594,-,,,,hypothetical protein,,,SL1344_RS25040,237,,pseudo
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,668750,669496,-,,,,,,,SL1344_RS03065,747,,old_locus_tag=SL1344_0595
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,668750,669496,-,WP_000597126.1,WP_000597126.1,,thiol:disulfide interchange protein DsbG,,,SL1344_RS03065,747,248,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,669937,670500,+,,,,,,,SL1344_RS03070,564,,old_locus_tag=SL1344_0596
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,669937,670500,+,WP_000052802.1,WP_000052802.1,,alkyl hydroperoxide reductase subunit C,,,SL1344_RS03070,564,187,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,670742,672307,+,,,,,,,SL1344_RS03075,1566,,old_locus_tag=SL1344_0597
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,670742,672307,+,WP_000887644.1,WP_000887644.1,,alkyl hydroperoxide reductase subunit F,,,SL1344_RS03075,1566,521,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,672639,673199,+,,,,,,,SL1344_RS03080,561,,old_locus_tag=SL1344_0598
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,672639,673199,+,WP_000377438.1,WP_000377438.1,,molecular chaperone,,,SL1344_RS03080,561,186,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,673192,675471,+,,,,,,,SL1344_RS03085,2280,,old_locus_tag=SL1344_0599
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,673192,675471,+,WP_000064328.1,WP_000064328.1,,DMSO reductase subunit A,,,SL1344_RS03085,2280,759,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,675468,676025,+,,,,,,,SL1344_RS03090,558,,old_locus_tag=SL1344_0600
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,675468,676025,+,WP_001250381.1,WP_001250381.1,,DMSO reductase subunit B,,,SL1344_RS03090,558,185,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,676025,676792,+,,,,,,,SL1344_RS03095,768,,old_locus_tag=SL1344_0601
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,676025,676792,+,WP_000417097.1,WP_000417097.1,,hydrogenase,,,SL1344_RS03095,768,255,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,676860,677288,-,,,,,,,SL1344_RS03100,429,,old_locus_tag=SL1344_0602
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,676860,677288,-,WP_000278499.1,WP_000278499.1,,universal stress protein G,,,SL1344_RS03100,429,142,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,677511,678749,+,,,,,,,SL1344_RS03105,1239,,old_locus_tag=SL1344_0603
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,677511,678749,+,WP_000646113.1,WP_000646113.1,,glutathione-dependent formaldehyde dehydrogenase,,,SL1344_RS03105,1239,412,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,678832,679242,-,,,,,,,SL1344_RS03110,411,,old_locus_tag=SL1344_0604
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,678832,679242,-,WP_000089748.1,WP_000089748.1,,nucleoside diphosphate kinase regulator,,,SL1344_RS03110,411,136,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,679192,679374,+,,,,,,,SL1344_RS25050,183,,
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,679192,679374,+,WP_071524024.1,WP_071524024.1,,hypothetical protein,,,SL1344_RS25050,183,60,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,679477,680283,-,,,,,,,SL1344_RS03115,807,,old_locus_tag=SL1344_0605
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,679477,680283,-,WP_001092580.1,WP_001092580.1,,ribonuclease I,,,SL1344_RS03115,807,268,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,680393,681856,-,,,,,,,SL1344_RS03120,1464,,old_locus_tag=SL1344_0606
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,680393,681856,-,WP_000059029.1,WP_000059029.1,,anion permease,,,SL1344_RS03120,1464,487,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,681894,682790,-,,,,,,,SL1344_RS03125,897,,old_locus_tag=SL1344_0607
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,681894,682790,-,WP_000982663.1,WP_000982663.1,,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,,,SL1344_RS03125,897,298,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,682762,683313,-,,,,,citX,,SL1344_RS03130,552,,old_locus_tag=SL1344_0608
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,682762,683313,-,WP_001236063.1,WP_001236063.1,,citrate lyase holo-[acyl-carrier protein] synthase,citX,,SL1344_RS03130,552,183,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,683317,684846,-,,,,,citF,,SL1344_RS03135,1530,,old_locus_tag=SL1344_0609
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,683317,684846,-,WP_000192315.1,WP_000192315.1,,citrate lyase subunit alpha,citF,,SL1344_RS03135,1530,509,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,684856,685764,-,,,,,citE,,SL1344_RS03140,909,,old_locus_tag=SL1344_0610
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,684856,685764,-,WP_000622342.1,WP_000622342.1,,citrate (pro-3S)-lyase subunit beta,citE,,SL1344_RS03140,909,302,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,685761,686057,-,,,,,citD,,SL1344_RS03145,297,,old_locus_tag=SL1344_0611
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,685761,686057,-,WP_000700679.1,WP_000700679.1,,citrate lyase ACP,citD,,SL1344_RS03145,297,98,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,686054,687130,-,,,,,citC,,SL1344_RS03150,1077,,old_locus_tag=SL1344_0612
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,686054,687130,-,WP_000467874.1,WP_000467874.1,,[citrate (pro-3S)-lyase] ligase,citC,,SL1344_RS03150,1077,358,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,687323,687505,+,,,,,,,SL1344_RS25055,183,,
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,687323,687505,+,WP_014343979.1,WP_014343979.1,,hypothetical protein,,,SL1344_RS25055,183,60,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,687515,689176,+,,,,,dpiB,,SL1344_RS03155,1662,,old_locus_tag=SL1344_0613
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,687515,689176,+,WP_001277836.1,WP_001277836.1,,sensor histidine kinase,dpiB,,SL1344_RS03155,1662,553,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,689145,689825,+,,,,,dpiA,,SL1344_RS03160,681,,old_locus_tag=SL1344_0614
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,689145,689825,+,WP_000138788.1,WP_000138788.1,,response regulator,dpiA,,SL1344_RS03160,681,226,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,689879,691264,-,,,,,,,SL1344_RS03165,1386,,old_locus_tag=SL1344_0615
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,689879,691264,-,WP_000958610.1,WP_000958610.1,,anaerobic C4-dicarboxylate transporter DcuC,,,SL1344_RS03165,1386,461,
gene,pseudogene,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,691325,691518,+,,,,,,,SL1344_RS26950,194,,pseudo
CDS,without_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,691325,691518,+,,,,hypothetical protein,,,SL1344_RS26950,194,,pseudo
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,691643,692215,+,,,,,pagp,,SL1344_RS03170,573,,old_locus_tag=SL1344_0616
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,691643,692215,+,WP_000289054.1,WP_000289054.1,,phospholipid:lipid A palmitoyltransferase,pagp,,SL1344_RS03170,573,190,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,692403,692612,+,,,,,,,SL1344_RS03175,210,,old_locus_tag=SL1344_0617
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,692403,692612,+,WP_000034826.1,WP_000034826.1,,cold-shock protein,,,SL1344_RS03175,210,69,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,692670,693053,-,,,,,,,SL1344_RS03180,384,,old_locus_tag=SL1344_0618
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,692670,693053,-,WP_000939753.1,WP_000939753.1,,fluoride efflux transporter CrcB,,,SL1344_RS03180,384,127,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,693144,693932,+,,,,,,,SL1344_RS03185,789,,old_locus_tag=SL1344_0619
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,693144,693932,+,WP_000495780.1,WP_000495780.1,,hydrolase,,,SL1344_RS03185,789,262,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,694061,694264,+,,,,,,,SL1344_RS03190,204,,old_locus_tag=SL1344_0620
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,694061,694264,+,WP_000503938.1,WP_000503938.1,,twin-arginine translocase subunit TatE,,,SL1344_RS03190,204,67,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,694350,695315,-,,,,,lipA,,SL1344_RS03195,966,,old_locus_tag=SL1344_0621
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,694350,695315,-,WP_000042640.1,WP_000042640.1,,lipoyl synthase,lipA,,SL1344_RS03195,966,321,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,695521,696474,-,,,,,,,SL1344_RS03200,954,,old_locus_tag=SL1344_0622
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,695521,696474,-,WP_001282817.1,WP_001282817.1,,LysR family transcriptional regulator,,,SL1344_RS03200,954,317,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,696776,697417,-,,,,,,,SL1344_RS03205,642,,old_locus_tag=SL1344_0623
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,696776,697417,-,WP_000284009.1,WP_000284009.1,,octanoyltransferase,,,SL1344_RS03205,642,213,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,697517,697780,-,,,,,,,SL1344_RS03210,264,,old_locus_tag=SL1344_0624
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,697517,697780,-,WP_000850547.1,WP_000850547.1,,hypothetical protein,,,SL1344_RS03210,264,87,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,697889,699100,-,,,,,,,SL1344_RS03215,1212,,old_locus_tag=SL1344_0625
